Trait	CV	Partition	direct	proxy	excluded	total
PH	CV00	10	88	440	1972	2500
PH	CV1	1	80	365	2055	2500
PH	CV1	2	66	417	2017	2500
PH	CV1	3	67	203	2230	2500
PH	CV1	4	85	262	2153	2500
PH	CV1	5	54	413	2033	2500
PH	CV1	6	71	424	2005	2500
PH	CV1	7	61	446	1993	2500
PH	CV1	8	51	126	2323	2500
PH	CV1	9	76	345	2079	2500
PH	CV1	10	65	489	1946	2500
PH	CV2	1	68	156	2276	2500
PH	CV2	2	91	182	2227	2500
PH	CV2	3	85	222	2193	2500
PH	CV2	4	81	242	2177	2500
PH	CV2	5	72	374	2054	2500
PH	CV2	6	71	190	2239	2500
PH	CV2	7	107	145	2248	2500
PH	CV2	8	79	169	2252	2500
PH	CV2	9	56	325	2119	2500
PH	CV2	10	75	289	2136	2500
PPP	CV0	1	172	196	2132	2500
PPP	CV0	2	192	172	2136	2500
PPP	CV0	3	174	130	2196	2500
PPP	CV0	4	172	146	2182	2500
PPP	CV0	5	217	212	2071	2500
PPP	CV0	6	181	212	2107	2500
PPP	CV0	7	189	171	2140	2500
PPP	CV0	8	193	135	2172	2500
PPP	CV0	9	183	176	2141	2500
PPP	CV0	10	184	179	2137	2500
PPP	CV00	1	175	164	2161	2500
PPP	CV00	2	170	224	2106	2500
PPP	CV00	3	173	288	2039	2500
PPP	CV00	4	115	191	2194	2500
PPP	CV00	5	159	182	2159	2500
PPP	CV00	6	210	179	2111	2500
PPP	CV00	7	141	594	1765	2500
PPP	CV00	8	143	177	2180	2500
PPP	CV00	9	122	217	2161	2500
PPP	CV00	10	165	218	2117	2500
PPP	CV1	1	181	138	2181	2500
PPP	CV1	2	194	191	2115	2500
PPP	CV1	3	168	179	2153	2500
PPP	CV1	4	191	165	2144	2500
PPP	CV1	5	201	180	2119	2500
PPP	CV1	6	199	163	2138	2500
PPP	CV1	7	181	248	2071	2500
PPP	CV1	8	193	198	2109	2500
PPP	CV1	9	196	190	2114	2500
PPP	CV1	10	188	387	1925	2500
PPP	CV2	1	199	198	2103	2500
PPP	CV2	2	207	160	2133	2500
PPP	CV2	3	164	176	2160	2500
PPP	CV2	4	188	264	2048	2500
PPP	CV2	5	207	200	2093	2500
PPP	CV2	6	218	179	2103	2500
PPP	CV2	7	154	140	2206	2500
PPP	CV2	8	186	222	2092	2500
PPP	CV2	9	191	223	2086	2500
PPP	CV2	10	194	210	2096	2500
YPPlnt	CV0	1	46	1102	1352	2500
YPPlnt	CV0	2	65	1152	1283	2500
YPPlnt	CV0	3	57	1216	1227	2500
YPPlnt	CV0	4	62	1118	1320	2500
YPPlnt	CV0	5	53	1206	1241	2500
YPPlnt	CV0	6	56	1110	1334	2500
YPPlnt	CV0	7	52	1047	1401	2500
YPPlnt	CV0	8	55	1028	1417	2500
YPPlnt	CV0	9	57	1112	1331	2500
YPPlnt	CV0	10	57	1024	1419	2500
YPPlnt	CV00	1	50	923	1527	2500
YPPlnt	CV00	2	50	1288	1162	2500
YPPlnt	CV00	3	67	1059	1374	2500
YPPlnt	CV00	4	57	901	1542	2500
YPPlnt	CV00	5	84	431	1985	2500
YPPlnt	CV00	6	71	772	1657	2500
YPPlnt	CV00	7	61	939	1500	2500
YPPlnt	CV00	8	75	1042	1383	2500
YPPlnt	CV00	9	56	933	1511	2500
YPPlnt	CV00	10	34	818	1648	2500
YPPlnt	CV1	1	40	1476	984	2500
YPPlnt	CV1	2	62	866	1572	2500
YPPlnt	CV1	3	55	1082	1363	2500
YPPlnt	CV1	4	56	828	1616	2500
YPPlnt	CV1	5	53	991	1456	2500
YPPlnt	CV1	6	47	969	1484	2500
YPPlnt	CV1	7	37	1063	1400	2500
YPPlnt	CV1	8	68	927	1505	2500
YPPlnt	CV1	9	44	965	1491	2500
YPPlnt	CV1	10	45	994	1461	2500
YPPlnt	CV2	1	49	1070	1381	2500
YPPlnt	CV2	2	46	1345	1109	2500
YPPlnt	CV2	3	40	1157	1303	2500
YPPlnt	CV2	4	25	1161	1314	2500
YPPlnt	CV2	5	32	1641	827	2500
YPPlnt	CV2	6	25	1204	1271	2500
YPPlnt	CV2	7	26	1526	948	2500
YPPlnt	CV2	8	44	1215	1241	2500
YPPlnt	CV2	9	41	1391	1068	2500
YPPlnt	CV2	10	33	1637	830	2500
