"contrast","estimate","SE","df","t.ratio","p.value","Trait","CV","Panel"
"M4 - M2",0.00703989641029459,0.00197704242310861,147,3.56082212905951,0.00277864848942888,"PH","CV2","genome-wide"
"M4 - M3",0.00497300752140575,0.00197704242310861,147,2.51537724394726,0.0616705100152808,"PH","CV2","genome-wide"
"M4 - M1",0.00201156394217726,0.00163964762998848,147.000000000001,1.22682697512965,0.6108542130443,"PH","CV2","haplotype-tagged"
"M4 - M2",-0.00381243605782345,0.00163964762998847,147.000000000001,-2.32515571522538,0.0970010335733313,"PH","CV2","haplotype-tagged"
"M4 - M3",-0.00817576939115675,0.00163964762998847,147.000000000001,-4.98629659301506,1.01394359994789e-05,"PH","CV2","haplotype-tagged"
"M4 - M1",-0.0224099311863607,0.00314982127711283,147.000000000001,-7.11466753659813,2.73875588874262e-10,"PPP","CV0","genome-wide"
"M4 - M2",-0.0561749311863608,0.00314982127711283,147.000000000001,-17.8343233613088,2.22044604925031e-15,"PPP","CV0","genome-wide"
"M4 - M3",-0.0353679311863608,0.00314982127711283,147.000000000001,-11.2285517414434,1.90958360235527e-14,"PPP","CV0","genome-wide"
"M4 - M1",-0.0159644313881084,0.00251788711670738,146.999999999998,-6.34040790874889,1.59183942693986e-08,"PPP","CV0","haplotype-tagged"
"M4 - M2",-0.0266584313881083,0.00251788711670738,146.999999999998,-10.5876197591294,3.1863400806742e-14,"PPP","CV0","haplotype-tagged"
"M4 - M3",-0.00717343138810829,0.00251788711670738,146.999999999998,-2.84898847947121,0.025555184567874,"PPP","CV0","haplotype-tagged"
"M4 - M1",0.162504798236808,0.0239638133536095,147.000000000003,6.78125788408093,1.61996882575011e-09,"PPP","CV00","genome-wide"
"M4 - M2",-0.0541902017631919,0.0239638133536095,147.000000000003,-2.2613346617069,0.111980259549085,"PPP","CV00","genome-wide"
"M4 - M3",-0.0439902017631919,0.0239638133536095,147.000000000003,-1.83569288886011,0.26086158388337,"PPP","CV00","genome-wide"
"M4 - M1",0.0975103925285674,0.0252353634170818,147.000000000001,3.86403757762263,0.000950493812606812,"PPP","CV00","haplotype-tagged"
"M4 - M2",-0.0871656074714326,0.0252353634170818,147.000000000001,-3.45410549595772,0.00398348128114867,"PPP","CV00","haplotype-tagged"
"M4 - M3",-0.0216996074714326,0.0252353634170818,147,-0.859888843793873,0.825439004980188,"PPP","CV00","haplotype-tagged"
"M4 - M1",0.157253175640619,0.00934464088505247,147.000000000001,16.8281668150735,2.22044604925031e-15,"PPP","CV1","genome-wide"
"M4 - M2",-0.0250952688038259,0.00934464088505247,147,-2.68552522376412,0.0398830999481053,"PPP","CV1","genome-wide"
"M4 - M3",-0.00791437991493688,0.00934464088505247,147,-0.846943185114431,0.831879280725096,"PPP","CV1","genome-wide"
"M4 - M1",0.136096137982345,0.010401791809595,147,13.0839128943923,2.44249065417534e-15,"PPP","CV1","haplotype-tagged"
"M4 - M2",-0.016646750906544,0.010401791809595,147,-1.60037339828206,0.381598730208492,"PPP","CV1","haplotype-tagged"
"M4 - M3",0.0304736935379004,0.010401791809595,147.000000000001,2.92965809119447,0.0203262983681484,"PPP","CV1","haplotype-tagged"
"M4 - M1",0.0249833107004199,0.00371895924571636,147,6.71782319991718,2.26134000413936e-09,"PPP","CV2","genome-wide"
"M4 - M2",-0.0212446892995802,0.00371895924571636,147,-5.71253619518703,3.56478225049806e-07,"PPP","CV2","genome-wide"
"M4 - M3",-0.0139582448551357,0.00371895924571636,147,-3.75326642022586,0.00141821787759233,"PPP","CV2","genome-wide"
"M4 - M1",0.0200232826907228,0.00311129612846705,147.000000000001,6.43567242202317,9.7804772059007e-09,"PPP","CV2","haplotype-tagged"
"M4 - M2",0.00524839380183389,0.00311129612846705,147.000000000001,1.68688340329077,0.334272425326421,"PPP","CV2","haplotype-tagged"
"M4 - M3",-0.00324960619816611,0.00311129612846705,147.000000000001,-1.04445416443443,0.723600727087009,"PPP","CV2","haplotype-tagged"
"M4 - M1",0.0178752093821627,0.00270113152085871,147.000000000001,6.6176745723511,3.8167173865844e-09,"YPPlnt","CV0","genome-wide"
"M4 - M2",0.000281209382162865,0.00270113152085871,147.000000000001,0.104107993258124,0.999594339349036,"YPPlnt","CV0","genome-wide"
"M4 - M3",0.00903420938216291,0.00270113152085871,147.000000000001,3.34460181312862,0.00570879643131939,"YPPlnt","CV0","genome-wide"
"M4 - M1",0.00894814116952727,0.00282878563065412,147,3.16324470562944,0.0101315268495211,"YPPlnt","CV0","haplotype-tagged"
"M4 - M2",0.00386014116952714,0.00282878563065412,147,1.36459303515146,0.5235511853772,"YPPlnt","CV0","haplotype-tagged"
"M4 - M3",0.0084481411695271,0.00282878563065412,147,2.98649041411229,0.0172366510997016,"YPPlnt","CV0","haplotype-tagged"
"M4 - M1",0.0967583500031754,0.0224281242302884,147.000000000001,4.31415257957715,0.00017036113308655,"YPPlnt","CV00","genome-wide"
"M4 - M2",-0.0178946499968247,0.0224281242302884,147,-0.797866545284185,0.855299815500348,"YPPlnt","CV00","genome-wide"
"M4 - M3",-0.00965664999682471,0.0224281242302884,147,-0.430559858580761,0.973143087202356,"YPPlnt","CV00","genome-wide"
"M4 - M1",0.0829552933256167,0.0253522059186243,147.000000000001,3.27211342444469,0.00720429831019997,"YPPlnt","CV00","haplotype-tagged"
"M4 - M2",-0.0194977066743833,0.0253522059186243,147,-0.76907337913581,0.868272614218705,"YPPlnt","CV00","haplotype-tagged"
