"CV","Trait","Panel","Model","PA","SD","N"
"CV00","PH","haplotype-tagged","M2",0.414846,0.175447212492614,50
"CV00","PH","haplotype-tagged","M3",0.404639,0.164450065397323,50
"CV00","PH","haplotype-tagged","M4",0.321210822393325,0.176112279195258,50
"CV00","PPP","genome-wide","M1",0.000635999999999997,0.159772681644892,50
"CV00","PPP","genome-wide","M2",0.217331,0.131281545826098,50
"CV00","PPP","genome-wide","M3",0.207131,0.132938208712598,50
"CV00","PPP","genome-wide","M4",0.163140798236808,0.124794596190777,50
"CV00","PPP","haplotype-tagged","M1",0.000635999999999997,0.159772681644892,50
"CV00","PPP","haplotype-tagged","M2",0.185312,0.131724363791694,50
"CV00","PPP","haplotype-tagged","M3",0.119846,0.127844355242408,50
"CV00","PPP","haplotype-tagged","M4",0.0981463925285674,0.114901254572434,50
"CV00","YPPlnt","genome-wide","M1",0.004731,0.155319993551824,50
"CV00","YPPlnt","genome-wide","M2",0.119384,0.107220580589926,50
"CV00","YPPlnt","genome-wide","M3",0.111146,0.122405651230085,50
"CV00","YPPlnt","genome-wide","M4",0.101489350003175,0.124396604951457,50
"CV00","YPPlnt","haplotype-tagged","M1",0.004731,0.155319993551824,50
"CV00","YPPlnt","haplotype-tagged","M2",0.107184,0.135587726116597,50
"CV00","YPPlnt","haplotype-tagged","M3",0.059209,0.129339525379948,50
"CV00","YPPlnt","haplotype-tagged","M4",0.0876862933256167,0.138069531364525,50
"CV1","DTF","genome-wide","M1",-0.003852,0.122457286642534,50
"CV1","DTF","genome-wide","M2",0.431448,0.0721802483799096,50
"CV1","DTF","genome-wide","M3",0.429838888888889,0.0648244216322806,50
"CV1","DTF","genome-wide","M4",0.434935836578626,0.0574879578462177,50
"CV1","DTF","haplotype-tagged","M1",-0.003852,0.122457286642534,50
"CV1","DTF","haplotype-tagged","M2",0.290377555555556,0.0795328742256312,50
"CV1","DTF","haplotype-tagged","M3",0.263496,0.0728590055009679,50
"CV1","DTF","haplotype-tagged","M4",0.290768753179544,0.0967936875603143,50
"CV1","DTM","genome-wide","M1",0.0183353333333333,0.0916507503997017,50
"CV1","DTM","genome-wide","M2",0.358786444444444,0.0699194891097583,50
"CV1","DTM","genome-wide","M3",0.342132,0.0760838591541224,50
"CV1","DTM","genome-wide","M4",0.319163486906283,0.0634803512794659,50
"CV1","DTM","haplotype-tagged","M1",0.0183353333333333,0.0916507503997017,50
"CV1","DTM","haplotype-tagged","M2",0.253117777777778,0.066862670711645,50
"CV1","DTM","haplotype-tagged","M3",0.218772,0.0641736354056644,50
"CV1","DTM","haplotype-tagged","M4",0.161675987833677,0.0855640044998027,50
"CV1","HSW","genome-wide","M1",0.0346304444444444,0.132255103684288,50
"CV1","HSW","genome-wide","M2",0.578748222222222,0.0843122625695807,50
"CV1","HSW","genome-wide","M3",0.572326666666667,0.082760492221919,50
"CV1","HSW","genome-wide","M4",0.578560139384,0.0790213724427245,50
"CV1","HSW","haplotype-tagged","M1",0.0346304444444444,0.132255103684288,50
"CV1","HSW","haplotype-tagged","M2",0.493933555555556,0.110243039908532,50
"CV1","HSW","haplotype-tagged","M3",0.487842666666667,0.0963988387987299,50
"CV1","HSW","haplotype-tagged","M4",0.411615574464051,0.105615116576843,50
"CV1","PH","genome-wide","M1",-0.028794,0.10805916569898,50
"CV1","PH","genome-wide","M2",0.401658,0.10734367098309,50
"CV1","PH","genome-wide","M3",0.408081555555556,0.103509217966962,50
"CV1","PH","genome-wide","M4",0.430250009192333,0.0988019833981819,50
"CV1","PH","haplotype-tagged","M1",-0.028794,0.10805916569898,50
"CV1","PH","haplotype-tagged","M2",0.400263555555556,0.0914475996248556,50
"CV1","PH","haplotype-tagged","M3",0.392431333333333,0.0897759794640956,50
"CV1","PH","haplotype-tagged","M4",0.326825490556793,0.0863010773927364,50
"CV1","PPP","genome-wide","M1",0.0118415555555556,0.0635208450562817,50
"CV1","PPP","genome-wide","M2",0.19419,0.0533706606549448,50
"CV1","PPP","genome-wide","M3",0.177009111111111,0.0531209442927153,50
"CV1","PPP","genome-wide","M4",0.169094731196174,0.0549657828253553,50
"CV1","PPP","haplotype-tagged","M1",0.0118415555555556,0.0635208450562817,50
"CV1","PPP","haplotype-tagged","M2",0.164584444444444,0.0576234836719922,50
"CV1","PPP","haplotype-tagged","M3",0.117464,0.0490380053022262,50
"CV1","PPP","haplotype-tagged","M4",0.1479376935379,0.0616018922645632,50
"CV1","YPPlnt","genome-wide","M1",-0.0109013333333333,0.0602480365153559,50
"CV1","YPPlnt","genome-wide","M2",0.126485333333333,0.0455713315109569,50
"CV1","YPPlnt","genome-wide","M3",0.111092444444444,0.0505933091416916,50
"CV1","YPPlnt","genome-wide","M4",0.107557215736305,0.0519606412034888,50
"CV1","YPPlnt","haplotype-tagged","M1",-0.0109013333333333,0.0602480365153559,50
"CV1","YPPlnt","haplotype-tagged","M2",0.102432,0.0657759086744923,50
"CV1","YPPlnt","haplotype-tagged","M3",0.0687757777777778,0.0526061923864468,50
"CV1","YPPlnt","haplotype-tagged","M4",0.0714391236903906,0.0584555648367021,50
"CV2","DTF","genome-wide","M1",0.596458666666667,0.0362456096360461,50
"CV2","DTF","genome-wide","M2",0.605822666666667,0.0373882576328229,50
"CV2","DTF","genome-wide","M3",0.597123555555556,0.0352472541107559,50
"CV2","DTF","genome-wide","M4",0.604803514309889,0.036494956459098,50
"CV2","DTF","haplotype-tagged","M1",0.596458666666667,0.0362456096360461,50
"CV2","DTF","haplotype-tagged","M2",0.598281333333333,0.0363990506965495,50
"CV2","DTF","haplotype-tagged","M3",0.600668666666667,0.0387479766254626,50
