env,2015.Amlaha,2015.Junagadh,2015.Patancheru,2015.Sehore,2016.Amlaha,2016.Junagadh,2016.Kanpur,2016.Patancheru,2016.Sehore
2015.Amlaha,1,0.337255734265991,0.389384452912215,0.241996709923351,0.27900479048235,0.254781264785749,0.24113780346935,0.272849311016276,0.27607620106665
2015.Junagadh,0.337255734265991,1,0.593912375786844,0.474123933132554,0.38187165790472,0.589969123275871,0.461696460565238,0.605509713474239,0.393822296080553
2015.Patancheru,0.389384452912215,0.593912375786844,1,0.513428565760901,0.47377886678109,0.604655778287108,0.603190623844812,0.815710344970356,0.44249443012634
2015.Sehore,0.241996709923351,0.474123933132554,0.513428565760901,1,0.285566616861143,0.448680133682337,0.390178169782849,0.540465906790689,0.574717343526637
2016.Amlaha,0.27900479048235,0.38187165790472,0.47377886678109,0.285566616861143,1,0.360596305423184,0.377856709427789,0.468244458601479,0.248346029589262
2016.Junagadh,0.254781264785749,0.589969123275871,0.604655778287108,0.448680133682337,0.360596305423184,1,0.384996486004007,0.580421558245173,0.307547436833998
2016.Kanpur,0.24113780346935,0.461696460565238,0.603190623844812,0.390178169782849,0.377856709427789,0.384996486004007,1,0.534348617367632,0.330716462928129
2016.Patancheru,0.272849311016276,0.605509713474239,0.815710344970356,0.540465906790689,0.468244458601479,0.580421558245173,0.534348617367632,1,0.438826767041962
2016.Sehore,0.27607620106665,0.393822296080553,0.44249443012634,0.574717343526637,0.248346029589262,0.307547436833998,0.330716462928129,0.438826767041962,1
