"Model","Panel","Trait","CV","Repetition","Fold","PA"
"M2","genome-wide","YPPlnt","CV2","1","1",0.122933333333333
"M3","genome-wide","YPPlnt","CV2","1","1",0.0999555555555556
"M2","haplotype-tagged","YPPlnt","CV2","1","1",0.0895666666666667
"M3","haplotype-tagged","YPPlnt","CV2","1","1",0.0884888888888889
"M2","genome-wide","DTF","CV0","2","1",0.68995
"M3","genome-wide","DTF","CV0","2","1",0.6702
"M2","haplotype-tagged","DTF","CV0","2","1",0.67995
"M3","haplotype-tagged","DTF","CV0","2","1",0.6827
"M2","genome-wide","DTM","CV0","2","1",0.52115
"M3","genome-wide","DTM","CV0","2","1",0.5092
"M2","haplotype-tagged","DTM","CV0","2","1",0.49685
"M3","haplotype-tagged","DTM","CV0","2","1",0.48945
"M2","genome-wide","HSW","CV0","2","1",0.8065
"M3","genome-wide","HSW","CV0","2","1",0.80565
"M2","haplotype-tagged","HSW","CV0","2","1",0.8034
"M3","haplotype-tagged","HSW","CV0","2","1",0.8024
"M2","genome-wide","PH","CV0","2","1",0.6531
"M3","genome-wide","PH","CV0","2","1",0.6506
"M2","haplotype-tagged","PH","CV0","2","1",0.64825
"M3","haplotype-tagged","PH","CV0","2","1",0.64235
"M2","genome-wide","PPP","CV0","2","1",0.24825
"M3","genome-wide","PPP","CV0","2","1",0.21985
"M2","haplotype-tagged","PPP","CV0","2","1",0.22125
"M3","haplotype-tagged","PPP","CV0","2","1",0.19985
"M2","genome-wide","YPPlnt","CV0","2","1",0.1578
"M3","genome-wide","YPPlnt","CV0","2","1",0.16295
"M2","haplotype-tagged","YPPlnt","CV0","2","1",0.1588
"M3","haplotype-tagged","YPPlnt","CV0","2","1",0.15985
"M2","genome-wide","DTF","CV00","2","1",0.3388
"M3","genome-wide","DTF","CV00","2","1",0.3517
"M2","haplotype-tagged","DTF","CV00","2","1",0.1893
"M3","haplotype-tagged","DTF","CV00","2","1",0.1102
"M2","genome-wide","DTM","CV00","2","1",0.425
"M3","genome-wide","DTM","CV00","2","1",0.3795
"M2","haplotype-tagged","DTM","CV00","2","1",0.3627
"M3","haplotype-tagged","DTM","CV00","2","1",0.31325
"M2","genome-wide","HSW","CV00","2","1",0.49495
"M3","genome-wide","HSW","CV00","2","1",0.51235
"M2","haplotype-tagged","HSW","CV00","2","1",0.36345
"M3","haplotype-tagged","HSW","CV00","2","1",0.32885
"M2","genome-wide","PH","CV00","2","1",-0.00735
"M3","genome-wide","PH","CV00","2","1",-0.0243
"M2","haplotype-tagged","PH","CV00","2","1",0.02355
"M3","haplotype-tagged","PH","CV00","2","1",0.05075
"M2","genome-wide","PPP","CV00","2","1",0.0729
"M3","genome-wide","PPP","CV00","2","1",0.0867
"M2","haplotype-tagged","PPP","CV00","2","1",0.13955
"M3","haplotype-tagged","PPP","CV00","2","1",0.0519
"M2","genome-wide","YPPlnt","CV00","2","1",-0.15905
"M3","genome-wide","YPPlnt","CV00","2","1",-0.1843
"M2","haplotype-tagged","YPPlnt","CV00","2","1",-0.19445
"M3","haplotype-tagged","YPPlnt","CV00","2","1",-0.09195
"M2","genome-wide","DTF","CV1","2","1",0.506677777777778
"M3","genome-wide","DTF","CV1","2","1",0.468233333333333
"M2","haplotype-tagged","DTF","CV1","2","1",0.308944444444444
"M3","haplotype-tagged","DTF","CV1","2","1",0.340933333333333
"M2","genome-wide","DTM","CV1","2","1",0.339333333333333
"M3","genome-wide","DTM","CV1","2","1",0.340155555555556
"M2","haplotype-tagged","DTM","CV1","2","1",0.264411111111111
"M3","haplotype-tagged","DTM","CV1","2","1",0.233544444444444
"M2","genome-wide","HSW","CV1","2","1",0.702477777777778
"M3","genome-wide","HSW","CV1","2","1",0.692433333333333
"M2","haplotype-tagged","HSW","CV1","2","1",0.665177777777778
"M3","haplotype-tagged","HSW","CV1","2","1",0.630022222222222
"M2","genome-wide","PH","CV1","2","1",0.506788888888889
"M3","genome-wide","PH","CV1","2","1",0.520166666666667
