"trait","converged","genetic_variance","Gxsite_variance","Gxyear_variance","residual_variance","mean_observations_per_genotype","sites","years","H2_entry_mean"
"DTF",TRUE,30.7559162879177,15.9367417690278,0.365065233260567,35.9727163887723,8.96172248803828,5,2,0.806398719871013
"PH",TRUE,23.1400684234824,2.01323253571308,9.32932592123309e-06,33.634279852514,8.94736842105263,5,2,0.847564273823832
"DTM",TRUE,23.5635104287901,8.24416364762956,5.26916403452433e-06,52.0704944122738,8.98086124401914,5,2,0.759861118518019
"PPP",TRUE,36.2438852914,28.5388480147078,5.34180857861452e-05,479.451480306814,8.78947368421053,5,2,0.375584094867429
"HSW",TRUE,31.3320759468483,9.96179631463403,0.0323044462842284,7.91597615136865,8.76555023923445,5,2,0.914974360688002
"YPPlnt",TRUE,1.75061313987724,3.07211348547985,0.521034347133719,52.4529472547586,8.77033492822967,5,2,0.203411215041139
