"trait","converged","genetic_variance","Gxsite_variance","Gxyear_variance","residual_variance","mean_observations_per_genotype","sites","years","H2_entry_mean"
"DTF",TRUE,31.2399580769072,15.640582188833,0.57639685864415,36.0121631270699,8.96315789473684,5,2,0.807775257167861
"PH",TRUE,22.9368102245425,2.4572305278912,8.85286944420538e-06,33.4161696226807,8.9421052631579,5,2,0.8443451193247
"DTM",TRUE,23.9223828723829,8.38831638168523,9.93822573791881e-06,52.0980876103717,8.98421052631579,5,2,0.76188599461826
"PPP",TRUE,39.1540140593344,20.6823112131833,9.63174104993398e-05,488.393671260307,8.79473684210526,5,2,0.396203381091765
"HSW",TRUE,25.5518330803473,9.82676196739815,1.79594950254072e-06,7.72214146222155,8.76315789473684,5,2,0.899763386139362
"YPPlnt",TRUE,1.90352608438277,2.76888912187672,0.271126135925312,53.5286915045225,8.78421052631579,5,2,0.219133451990655
